Refugi,Lon,Lat
Airoto Gràcia,1.041947777,42.696668468
Amitges,0.984440508,42.596784692
Ardericó,1.966032944,42.207792221
Artiga de Lin,0.70474489,42.678518527
Artiga Longa,0.759853436,42.547802157
Baborte Cinquantenari,1.361976605,42.646941472
Barraca de la Baga de Feliu,2.110244417,42.353909994
Bages,1.564379866,42.170487815
Baiau Josep Maria Montfort,1.429164765,42.597560516
Bassa d'Olles Era Piusa,0.773975179,42.714887963
Besiberri,0.809198991,42.604615856
Cabana de Boet,1.390590152,42.619196344
Bordes de Salient,0.850510118,42.73597244
Boumort,1.126767367,42.228963826
Broate,1.371236128,42.682428404
Cabana de Baselló,1.36205845,42.634524267
Cabana de la Tartera (Era Tartera),0.867891195,42.767031478
Cabana de Pruedo,0.899172769,42.658657731
Cabana dera Montanha d'Aubert,0.692733186,42.697376659
Cabana Moredo,0.898324888,42.748566736
Cabana Parros,0.975490352,42.750614734
Cabana Ull del Garona (Uelh de Garona),0.946425065,42.710177663
Cabanella,1.835675222,42.447930187
Cal Tesconet,1.765076763,42.256761139
Cap del Rec,1.749448768,42.206481886
Certascan,1.3063902,42.70390183
Clot de Baretges,0.649167469,42.752203745
Coll de Balmeta Jaume Farrer,2.328879108,42.399212503
Cabana del Coll de Nou Fonts,2.177215958,42.420288847
Coll del Port,1.552095732,42.210095258
Colomers,0.920561733,42.624207193
Colomers-II,0.921736092,42.62665991
Colomina,1.001196209,42.519452551
Coma de Vaca Manelic,2.218999942,42.38539488
Comes de Rubió,1.242135042,42.40696118
Conangles,0.768091955,42.615258585
Corral Blanc,2.111080871,42.337633597
Cortal dels Cortils,1.691473527,42.282098375
Cortal d'en Vidal,1.840900396,42.325980404
Cortals de l'Ingla,1.790459872,42.309545818
Costabona,2.339827804,42.410731675
Cuberes Casa Miró,1.136742777,42.274164395
Del Gresolet,1.724266674,42.258115615
El Fornet,1.107220838,42.725736049
Engorgs Joaquim Folch i Girona,1.745647168,42.481157022
Era Honeria,0.806532923,42.818370748
Erols,1.954063281,42.272428854
Esplà,1.079314723,42.285275371
Estany Llong,0.942320667,42.572586027
Estanys de la Pera,1.598896204,42.456546263
Feixa,1.815321528,42.463932004
Filià,0.94915371,42.4610153
Font de les Pollineres,1.610305518,42.445473067
Gall Fer,1.284256405,42.518638235
Gerber Mataró,0.990853329,42.617969628
Gerdar,1.039567856,42.637643826
Hereishedo,0.766471179,42.67351686
Hospital de Vielha -Sant Nicolau,0.763618177,42.627157101
Josep M. Blanc,1.044081266,42.545668972
Juli Arnalot,0.997222377,42.758741315
Juli Soler Santaló,0.904470803,42.707940635
La Basseta,1.287228279,42.417775317
La Centraleta,0.936248341,42.570513627
La Covil,2.104699937,42.283403412
La Molina Pere Carné,1.953872793,42.340359685
La Molina-CEC,1.951564555,42.340464685
La Molina-UEC,1.955103254,42.339362235
Les Pedrisses,2.172397254,42.382789413
Refugi de Les Salines,2.74923916,42.420914021
Liat,0.873804669,42.795299935
Llac Obago,0.940230117,42.617565606
Loseron,0.885105412,42.655778285
Malniu Meranges,1.785976338,42.464318346
Balma de Mariolo,0.974198125,42.529532563
Molières (Mulleres),0.719075584,42.6283947
Montgarri,0.994376672,42.759447918
Mont-Roig Enric Pujol,1.189044827,42.705915324
Niu de l'àliga,1.893311548,42.319455582
Pallerols,1.273787907,42.391115049
Coll de Midós,1.364602015,42.451866222
Pedraforca Lluís Estasen,1.716200128,42.245182965
Pèira Arroja,0.958511021,42.722550652
Pla Bataller,0.773705522,42.725841781
Pla de la Font,1.072809406,42.59754029
Pla de Prats,2.119149039,42.27963367
Pla d'Erola,2.192478243,42.336254433
Planelles Montgrony,2.085487128,42.270066843
Pleta de Comabella,1.912385998,42.316071722
Pleta de la Vila,1.749521434,42.206482678
Pleta del Prat,1.218747497,42.67788872
Pradell,1.646672252,42.441639554
Prat d'Aguiló César August Torras,1.714028526,42.297168403
Quatre Pins,1.08386883,42.533337662
Ras de Conques,1.364759811,42.451877479
Rasos de Peguera,1.762730236,42.136665871
Rebost,1.885204813,42.287153486
Restanca,0.854610201,42.634697315
Saboredo,0.963258262,42.621048249
Saleres de Caderget,2.356640561,42.390023442
Sant Jordi Font del Faig,1.804924784,42.294054066
Refugi forestal de Sant Jordi,2.211087872,42.270099031
Sant Maurici Ernest Mallafré,1.008912063,42.578896011
Santuari de Gresolet,1.725283524,42.25879337
Santuari de Paller,1.875852326,42.266735496
Saut deth Pish,0.83533281,42.777532519
Serra d'Ensija Delgado Úbeda,1.748485462,42.187162207
Serrat de les Esposes,1.828745189,42.325019321
Sitjar,1.957349891,42.340778617
Tirapits,2.209179479,42.418667603
Ulldeter,2.257663575,42.41975734
Urus,1.851745295,42.33427596
Vall Ferrera,1.387974936,42.625094116
Refugi Joan Ventosa i Calvell,0.877329677,42.605322614
Xalet de Coll de Pal,1.905695743,42.293186785
